Matrix,n,Experiment,Type,Variant,RangeDecades,Count,SingleTermRows,EmptyRows,Total,Percentage
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,0,154,66,135,2904,5.303030303030303
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,1,110,66,135,2904,3.787878787878788
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,2,398,66,135,2904,13.705234159779614
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,3,1078,66,135,2904,37.121212121212125
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,4,812,66,135,2904,27.961432506887054
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,5,284,66,135,2904,9.77961432506887
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,6,68,66,135,2904,2.3415977961432506
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,0,168,72,135,3168,5.303030303030303
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,1,120,72,135,3168,3.787878787878788
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,2,433,72,135,3168,13.667929292929292
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,3,1177,72,135,3168,37.15277777777778
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,4,886,72,135,3168,27.967171717171716
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,5,312,72,135,3168,9.848484848484848
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,6,72,72,135,3168,2.272727272727273
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,0,14,6,135,264,5.303030303030303
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,1,10,6,135,264,3.787878787878788
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,2,36,6,135,264,13.636363636363637
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,3,98,6,135,264,37.121212121212125
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,4,74,6,135,264,28.03030303030303
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,5,26,6,135,264,9.848484848484848
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,6,6,6,135,264,2.272727272727273
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,0,14,6,135,264,5.303030303030303
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,1,10,6,135,264,3.787878787878788
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,2,36,6,135,264,13.636363636363637
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,3,98,6,135,264,37.121212121212125
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,4,74,6,135,264,28.03030303030303
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,5,26,6,135,264,9.848484848484848
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,6,6,6,135,264,2.272727272727273
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,0,35,15,135,660,5.303030303030303
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,1,25,15,135,660,3.787878787878788
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,2,90,15,135,660,13.636363636363637
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,3,245,15,135,660,37.121212121212125
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,4,185,15,135,660,28.03030303030303
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,5,65,15,135,660,9.848484848484848
