Matrix,n,Experiment,Type,Variant,Mean,Median,P90,Max,Total,SingleTermRows,EmptyRows
add20,2395,FactorAccumulatorIR,"posit<16,2>",Plain,4.989,4.0,9.0,11,11975,0,2395
add20,2395,FactorAccumulatorIR,"posit<16,2>",Quire,4.994,4.0,9.0,11,9580,0,2395
add20,2395,FactorAccumulatorIR,"posit<32,2>",Plain,4.979,4.0,9.0,10,7185,0,2395
add20,2395,FactorAccumulatorIR,"posit<32,2>",Quire,4.979,4.0,9.0,10,7185,0,2395
add20,2395,WorkingPrecisionResidualIR,"posit<32,2>",Plain,4.979,4.0,9.0,10,11975,0,2395
add20,2395,WorkingPrecisionResidualIR,"posit<32,2>",Quire,4.979,4.0,9.0,10,14370,0,2395
add20,2395,WorkingPrecisionResidualIR,"posit<64,3>",Plain,4.979,4.0,9.0,10,2395,0,2395
add20,2395,WorkingPrecisionResidualIR,"posit<64,3>",Quire,4.979,4.0,9.0,10,2395,0,2395
add32,4960,FactorAccumulatorIR,"posit<16,2>",Plain,3.122,2.0,7.0,35,99200,0,4960
add32,4960,FactorAccumulatorIR,"posit<16,2>",Quire,3.122,2.0,7.0,35,74400,0,4960
add32,4960,FactorAccumulatorIR,"posit<32,2>",Plain,3.122,2.0,7.0,35,9920,0,4960
add32,4960,FactorAccumulatorIR,"posit<32,2>",Quire,3.122,2.0,7.0,35,9920,0,4960
add32,4960,WorkingPrecisionResidualIR,"posit<32,2>",Plain,3.122,2.0,7.0,34,24800,0,4960
add32,4960,WorkingPrecisionResidualIR,"posit<32,2>",Quire,3.122,2.0,7.0,34,24800,0,4960
add32,4960,WorkingPrecisionResidualIR,"posit<64,3>",Plain,3.122,2.0,7.0,35,4960,0,4960
add32,4960,WorkingPrecisionResidualIR,"posit<64,3>",Quire,3.122,2.0,7.0,35,4960,0,4960
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Plain,8.937,8.0,12.0,12,128367,867,7602
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Quire,8.936,8.0,12.0,12,128367,867,7602
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Plain,8.937,8.0,12.0,12,22653,153,7602
rajat03,7602,FactorAccumulatorIR,"posit<32,2>",Quire,8.937,8.0,12.0,12,22653,153,7602
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Plain,8.933,8.0,12.0,12,120816,816,7602
rajat03,7602,WorkingPrecisionResidualIR,"posit<32,2>",Quire,8.933,8.0,12.0,12,45306,306,7602
rajat03,7602,WorkingPrecisionResidualIR,"posit<64,3>",Plain,8.939,8.0,12.0,12,7551,51,7602
rajat03,7602,WorkingPrecisionResidualIR,"posit<64,3>",Quire,8.939,8.0,12.0,12,7551,51,7602
rajat04,1041,FactorAccumulatorIR,"posit<16,2>",Plain,2.224,1.0,6.0,8,9081,288,1041
rajat04,1041,FactorAccumulatorIR,"posit<16,2>",Quire,2.224,1.0,6.0,8,8072,256,1041
rajat04,1041,FactorAccumulatorIR,"posit<32,2>",Plain,2.224,1.0,6.0,8,3027,96,1041
rajat04,1041,FactorAccumulatorIR,"posit<32,2>",Quire,2.224,1.0,6.0,8,2018,64,1041
rajat04,1041,WorkingPrecisionResidualIR,"posit<32,2>",Plain,2.224,1.0,6.0,8,8072,256,1041
rajat04,1041,WorkingPrecisionResidualIR,"posit<32,2>",Quire,2.224,1.0,6.0,8,5045,160,1041
rajat04,1041,WorkingPrecisionResidualIR,"posit<64,3>",Plain,2.224,1.0,6.0,8,1009,32,1041
rajat04,1041,WorkingPrecisionResidualIR,"posit<64,3>",Quire,2.224,1.0,6.0,8,1009,32,1041
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Plain,2.824,3.0,5.0,6,7450,75,301
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Quire,2.833,3.0,5.0,6,8642,87,301
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Plain,2.826,3.0,5.0,6,894,9,301
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Quire,2.83,3.0,5.0,6,894,9,301
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Plain,2.828,3.0,5.0,6,2384,24,301
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Quire,2.826,3.0,5.0,6,1490,15,301
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Plain,2.836,3.0,5.0,6,298,3,301
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Quire,2.836,3.0,5.0,6,298,3,301
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,3.174,3.0,5.0,6,2904,66,135
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,3.173,3.0,5.0,6,3168,72,135
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,3.174,3.0,5.0,6,264,6,135
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,3.174,3.0,5.0,6,264,6,135
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,3.174,3.0,5.0,6,660,15,135
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,3.174,3.0,5.0,6,660,15,135
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,3.174,3.0,5.0,6,132,3,135
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,3.174,3.0,5.0,6,132,3,135
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Plain,2.129,2.0,4.0,7,24310,117,1879
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Quire,2.129,2.0,4.0,7,14960,72,1879
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Plain,2.129,2.0,4.0,7,5610,27,1879
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Quire,2.129,2.0,4.0,7,3740,18,1879
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Plain,2.129,2.0,4.0,7,13090,63,1879
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Quire,2.129,2.0,4.0,7,9350,45,1879
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Plain,2.129,2.0,4.0,7,1870,9,1879
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Quire,2.129,2.0,4.0,7,1870,9,1879
rajat13,7598,FactorAccumulatorIR,"posit<16,2>",Plain,1.323,1.0,3.0,7,60096,688,7598
rajat13,7598,FactorAccumulatorIR,"posit<16,2>",Quire,1.323,1.0,3.0,7,37560,430,7598
rajat13,7598,FactorAccumulatorIR,"posit<32,2>",Plain,1.323,1.0,3.0,7,22536,258,7598
rajat13,7598,FactorAccumulatorIR,"posit<32,2>",Quire,1.323,1.0,3.0,7,15024,172,7598
rajat13,7598,WorkingPrecisionResidualIR,"posit<32,2>",Plain,1.323,1.0,3.0,7,60096,688,7598
rajat13,7598,WorkingPrecisionResidualIR,"posit<32,2>",Quire,1.323,1.0,3.0,7,37560,430,7598
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Plain,1.323,1.0,3.0,7,7512,86,7598
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Quire,1.323,1.0,3.0,7,7512,86,7598
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Plain,1.807,1.0,5.0,8,1539,81,180
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,1.807,1.0,5.0,8,1710,90,180
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,1.807,1.0,5.0,8,342,18,180
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,1.807,1.0,5.0,8,342,18,180
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Plain,1.807,1.0,5.0,8,1539,81,180
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Quire,1.807,1.0,5.0,8,855,45,180
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Plain,1.807,1.0,5.0,8,171,9,180
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Quire,1.807,1.0,5.0,8,171,9,180
rajat19,1157,FactorAccumulatorIR,"posit<16,2>",Plain,1.79,0.0,6.0,21,13822,2376,1157
rajat19,1157,FactorAccumulatorIR,"posit<16,2>",Quire,1.803,0.0,6.0,21,10879,1848,1157
rajat19,1157,FactorAccumulatorIR,"posit<32,2>",Plain,1.786,0.0,6.0,21,4945,840,1157
rajat19,1157,FactorAccumulatorIR,"posit<32,2>",Quire,1.778,0.0,6.0,21,3956,672,1157
rajat19,1157,WorkingPrecisionResidualIR,"posit<32,2>",Plain,1.776,0.0,6.0,21,5934,1008,1157
rajat19,1157,WorkingPrecisionResidualIR,"posit<32,2>",Quire,1.812,0.0,6.0,21,4945,840,1157
rajat19,1157,WorkingPrecisionResidualIR,"posit<64,3>",Plain,1.745,0.0,6.0,21,989,168,1157
rajat19,1157,WorkingPrecisionResidualIR,"posit<64,3>",Quire,1.745,0.0,6.0,21,989,168,1157
