Matrix,n,Type,Kernel,Median,Mean
rajat11,135,"posit<16,2>",Forward,1,2.652
rajat11,135,"posit<16,2>",Backward,2,2.756
rajat11,135,"posit<16,2>",Schur,0,0.731
rajat11,135,"posit<32,2>",Forward,1,2.652
rajat11,135,"posit<32,2>",Backward,2,2.756
rajat11,135,"posit<32,2>",Schur,0,0.995
rajat14,180,"posit<16,2>",Forward,1.5,3.206
rajat14,180,"posit<16,2>",Backward,3,3.15
rajat14,180,"posit<16,2>",Schur,2,3.114
rajat14,180,"posit<32,2>",Forward,1.5,3.206
rajat14,180,"posit<32,2>",Backward,3,3.15
rajat14,180,"posit<32,2>",Schur,2,2.738
rajat05,301,"posit<16,2>",Forward,1,4.336
rajat05,301,"posit<16,2>",Backward,3,3.628
rajat05,301,"posit<16,2>",Schur,0,0.728
rajat05,301,"posit<32,2>",Forward,1,4.336
rajat05,301,"posit<32,2>",Backward,3,3.628
rajat05,301,"posit<32,2>",Schur,1,1.609
rajat04,1041,"posit<16,2>",Forward,1,5.481
rajat04,1041,"posit<16,2>",Backward,1,5.487
rajat04,1041,"posit<16,2>",Schur,1,2.944
rajat04,1041,"posit<32,2>",Forward,1,5.481
rajat04,1041,"posit<32,2>",Backward,4,5.487
rajat04,1041,"posit<32,2>",Schur,1,3.283
rajat12,1879,"posit<16,2>",Forward,0,1.999
rajat12,1879,"posit<16,2>",Backward,2,1.999
rajat12,1879,"posit<16,2>",Schur,1,2.003
rajat12,1879,"posit<32,2>",Forward,0,1.999
rajat12,1879,"posit<32,2>",Backward,2,1.999
rajat12,1879,"posit<32,2>",Schur,1,1.848
