Matrix,n,Type,Method,Forward Error,Iterations
rajat11,135,posit16,Standard IR,1.528E-10,25
rajat11,135,posit16,Residual IR,1.528E-10,25
rajat11,135,posit32,Standard IR,2.050E-13,3
rajat11,135,posit32,Residual IR,2.180E-13,3
rajat14,180,posit16,Standard IR,1.819E-11,16
rajat14,180,posit16,Residual IR,4.366E-11,15
rajat14,180,posit32,Standard IR,4.580E-12,7
rajat14,180,posit32,Residual IR,3.352E-12,6
rajat05,301,posit16,Standard IR,3.94E-09,25
rajat05,301,posit16,Residual IR,3.94E-09,25
rajat05,301,posit32,Standard IR,4.27E-13,3
rajat05,301,posit32,Residual IR,3.84E-13,3
rajat04,1041,posit16,Standard IR,7.28E-12,17
rajat04,1041,posit16,Residual IR,7.28E-12,17
rajat04,1041,posit32,Standard IR,1.29E-13,5
rajat04,1041,posit32,Residual IR,9.16E-12,3
rajat12,1879,posit16,Standard IR,4.82E-11,16
rajat12,1879,posit16,Residual IR,4.82E-11,16
rajat12,1879,posit32,Standard IR,3.54E-12,9
rajat12,1879,posit32,Residual IR,3.62E-12,7
