Matrix,n,Type,Residual,Mean,Median
rajat11,135,"posit<16,2>",Standard,6.015,6
rajat11,135,"posit<16,2>",Quire,6.015,6
rajat11,135,"posit<32,2>",Standard,6.015,6
rajat11,135,"posit<32,2>",Quire,6.015,6
rajat14,180,"posit<16,2>",Standard,8.35,7
rajat14,180,"posit<16,2>",Quire,8.35,7
rajat14,180,"posit<32,2>",Standard,8.35,7
rajat14,180,"posit<32,2>",Quire,8.35,7
rajat05,301,"posit<16,2>",Standard,4.598,5
rajat05,301,"posit<16,2>",Quire,4.598,5
rajat05,301,"posit<32,2>",Standard,4.598,5
rajat05,301,"posit<32,2>",Quire,4.598,5
rajat04,1041,"posit<16,2>",Standard,9.262,6
rajat04,1041,"posit<16,2>",Quire,9.262,6
rajat04,1041,"posit<32,2>",Standard,9.262,6
rajat04,1041,"posit<32,2>",Quire,9.262,6
rajat12,1879,"posit<16,2>",Standard,6.879,4
rajat12,1879,"posit<16,2>",Quire,6.879,4
rajat12,1879,"posit<32,2>",Standard,6.879,4
rajat12,1879,"posit<32,2>",Quire,6.879,4
